PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
02;2;W79;NULL;16_75 a 79;2
82;2;R63;NULL;12_55 a 59;1
82;1;D47;NULL;14_65 a 69;1
18;1;I69;NULL;12_55 a 59;1
58;1;K35;NULL;14_65 a 69;1
02;2;C17;NULL;14_65 a 69;1
02;2;I77;NULL;12_55 a 59;2
70;1;V13;NULL;03_10 a 14;1
70;1;X74;NULL;11_50 a 54;1
02;1;C76;NULL;10_45 a 49;1
30;2;C23;NULL;15_70 a 74;1
34;2;W74;NULL;06_25 a 29;1
14;2;I80;NULL;16_75 a 79;1
22;1;I24;NULL;09_40 a 44;1
78;1;D38;NULL;10_45 a 49;2
10;1;J98;NULL;13_60 a 64;1
70;1;F99;NULL;14_65 a 69;1
38;2;A04;NULL;13_60 a 64;1
86;2;K56;NULL;11_50 a 54;1
02;1;I49;NULL;07_30 a 34;1
54;1;M32;NULL;10_45 a 49;1
14;2;C90;NULL;17_80 y más;7
70;2;I69;NULL;15_70 a 74;1
14;2;E66;NULL;08_35 a 39;1
02;2;G93;NULL;07_30 a 34;5
06;1;C18;NULL;99_Sin especificar;3
14;1;R57;NULL;10_45 a 49;27
30;2;N28;NULL;05_20 a 24;1
82;2;D48;NULL;15_70 a 74;6
82;2;C15;NULL;10_45 a 49;2
10;2;C55;NULL;12_55 a 59;2
50;2;C43;NULL;10_45 a 49;1
14;1;I25;NULL;09_40 a 44;1
30;1;C06;NULL;13_60 a 64;1
62;2;R68;NULL;17_80 y más;18
06;2;A46;NULL;16_75 a 79;2
22;2;V02;NULL;04_15 a 19;1
22;1;D37;NULL;13_60 a 64;5
06;1;D41;NULL;17_80 y más;2
38;1;W84;NULL;12_55 a 59;2
26;1;I31;NULL;13_60 a 64;1
18;2;C54;NULL;15_70 a 74;3
22;2;R56;NULL;06_25 a 29;1
06;1;K57;NULL;15_70 a 74;2
94;2;I67;NULL;15_70 a 74;1
18;1;X74;NULL;04_15 a 19;2
06;1;B16;NULL;11_50 a 54;1
42;2;C80;NULL;16_75 a 79;2
66;1;K46;NULL;15_70 a 74;1
06;1;E87;NULL;12_55 a 59;6
06;2;D58;NULL;17_80 y más;3
42;2;C50;NULL;15_70 a 74;10
06;2;F01;NULL;16_75 a 79;1
06;2;N28;NULL;02_1 a 9;1
54;1;K70;NULL;16_75 a 79;1
66;2;C08;NULL;13_60 a 64;2
58;2;C92;NULL;10_45 a 49;1
74;1;E16;NULL;13_60 a 64;1
50;2;C24;NULL;16_75 a 79;2
06;2;V89;NULL;99_Sin especificar;1
06;1;A18;NULL;11_50 a 54;1
46;2;C55;NULL;16_75 a 79;1
58;2;G30;NULL;15_70 a 74;3
06;2;C90;NULL;07_30 a 34;1
10;1;A41;NULL;10_45 a 49;4
70;2;C95;NULL;13_60 a 64;1
30;1;C60;NULL;15_70 a 74;2
99;1;A04;NULL;14_65 a 69;1
06;2;A49;NULL;07_30 a 34;1
18;1;R99;NULL;05_20 a 24;2
50;2;K81;NULL;12_55 a 59;1
14;2;J45;NULL;13_60 a 64;1
62;1;G30;NULL;17_80 y más;12
34;2;D69;NULL;16_75 a 79;1
50;1;W23;NULL;17_80 y más;1
70;1;D64;NULL;15_70 a 74;1
22;2;R99;NULL;07_30 a 34;4
06;1;I20;NULL;08_35 a 39;1
06;2;W79;NULL;99_Sin especificar;1
54;1;C18;NULL;11_50 a 54;5
86;1;J18;NULL;14_65 a 69;19
