PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
06;1;R99;NULL;11_50 a 54;84
06;2;E87;NULL;04_15 a 19;1
14;1;J85;NULL;03_10 a 14;1
38;1;C45;NULL;14_65 a 69;1
46;1;K56;NULL;17_80 y más;2
62;2;J44;NULL;17_80 y más;17
74;1;I48;NULL;16_75 a 79;1
82;1;K65;NULL;10_45 a 49;2
90;2;Y83;NULL;17_80 y más;2
66;2;B20;NULL;09_40 a 44;4
14;2;I38;NULL;15_70 a 74;1
06;1;N45;NULL;13_60 a 64;1
06;2;Y30;NULL;12_55 a 59;1
66;1;D64;NULL;10_45 a 49;1
06;1;A90;NULL;06_25 a 29;1
99;1;U07;NULL;08_35 a 39;3
10;2;D83;NULL;17_80 y más;1
70;1;J98;NULL;14_65 a 69;2
90;1;G40;NULL;13_60 a 64;1
99;9;I10;NULL;99_Sin especificar;1
54;2;I09;NULL;17_80 y más;1
90;2;K63;NULL;11_50 a 54;1
06;2;D32;NULL;16_75 a 79;2
99;1;A16;NULL;17_80 y más;1
30;2;I50;NULL;10_45 a 49;1
42;2;C18;NULL;16_75 a 79;6
74;1;I64;NULL;12_55 a 59;4
02;2;C38;NULL;17_80 y más;1
06;1;R57;NULL;08_35 a 39;1
34;2;Y83;NULL;08_35 a 39;1
02;1;J15;NULL;17_80 y más;60
02;1;N15;NULL;10_45 a 49;1
82;2;D48;NULL;13_60 a 64;2
50;2;J18;NULL;14_65 a 69;34
86;2;I73;NULL;14_65 a 69;1
18;2;Q04;NULL;01_Menor de 1 año;2
46;2;N39;NULL;13_60 a 64;1
50;2;P28;NULL;01_Menor de 1 año;1
22;2;C53;NULL;14_65 a 69;2
18;2;U07;NULL;11_50 a 54;6
70;1;L97;NULL;17_80 y más;1
06;2;D53;NULL;17_80 y más;18
14;2;J45;NULL;15_70 a 74;2
14;1;I50;NULL;15_70 a 74;112
62;2;I50;NULL;17_80 y más;94
06;1;Y21;NULL;10_45 a 49;4
82;1;N18;NULL;01_Menor de 1 año;1
58;1;C18;NULL;10_45 a 49;1
18;2;I48;NULL;17_80 y más;4
54;1;G20;NULL;17_80 y más;2
90;2;C76;NULL;14_65 a 69;2
06;2;I09;NULL;17_80 y más;1
14;1;B57;NULL;08_35 a 39;1
38;1;C25;NULL;15_70 a 74;7
62;1;X59;NULL;06_25 a 29;1
82;2;N32;NULL;16_75 a 79;1
74;1;I71;NULL;11_50 a 54;1
90;1;J84;NULL;17_80 y más;1
46;2;C64;NULL;14_65 a 69;1
74;2;C80;NULL;11_50 a 54;2
22;2;U07;NULL;09_40 a 44;6
18;1;F10;NULL;16_75 a 79;3
34;1;K85;NULL;10_45 a 49;1
02;2;Y34;NULL;17_80 y más;14
50;2;Q24;NULL;07_30 a 34;1
90;2;I61;NULL;07_30 a 34;2
99;1;A41;NULL;99_Sin especificar;4
18;1;K74;NULL;11_50 a 54;7
02;2;I47;NULL;09_40 a 44;1
06;1;G12;NULL;14_65 a 69;9
58;1;I10;NULL;09_40 a 44;1
62;1;X47;NULL;16_75 a 79;1
74;2;W79;NULL;04_15 a 19;1
22;2;C02;NULL;14_65 a 69;1
90;1;E10;NULL;09_40 a 44;1
06;2;G62;NULL;17_80 y más;3
02;1;J18;NULL;13_60 a 64;56
26;1;E14;NULL;09_40 a 44;1
54;1;K55;NULL;17_80 y más;1
02;2;W79;NULL;16_75 a 79;1
18;1;I69;NULL;12_55 a 59;3
74;1;C43;NULL;13_60 a 64;2
82;1;D47;NULL;14_65 a 69;3
02;2;C17;NULL;14_65 a 69;1
02;2;I77;NULL;12_55 a 59;3
30;2;C23;NULL;15_70 a 74;1
02;1;C76;NULL;10_45 a 49;1
14;1;G41;NULL;14_65 a 69;1
14;1;K70;NULL;07_30 a 34;1
06;9;E14;NULL;11_50 a 54;2
06;2;R09;NULL;09_40 a 44;1
14;2;C90;NULL;17_80 y más;6
82;2;G91;NULL;04_15 a 19;1
06;1;C18;NULL;99_Sin especificar;17
10;2;I49;NULL;10_45 a 49;1
70;2;I69;NULL;15_70 a 74;4
02;2;G93;NULL;07_30 a 34;1
06;2;K72;NULL;07_30 a 34;2
30;1;C75;NULL;10_45 a 49;1
14;1;R57;NULL;10_45 a 49;16
14;1;V67;NULL;11_50 a 54;1
10;2;C55;NULL;12_55 a 59;1
14;1;I25;NULL;09_40 a 44;2
78;2;Y34;NULL;08_35 a 39;1
82;2;C15;NULL;10_45 a 49;3
82;2;D48;NULL;15_70 a 74;2
62;2;Q87;NULL;06_25 a 29;1
62;2;R68;NULL;17_80 y más;8
22;1;D37;NULL;13_60 a 64;2
14;2;M32;NULL;12_55 a 59;1
06;2;Q39;NULL;01_Menor de 1 año;2
34;2;C55;NULL;12_55 a 59;2
78;1;K72;NULL;14_65 a 69;1
82;2;K25;NULL;17_80 y más;14
14;1;V47;NULL;16_75 a 79;1
38;2;I62;NULL;12_55 a 59;1
74;2;C57;NULL;15_70 a 74;1
74;2;C16;NULL;16_75 a 79;5
82;1;B37;NULL;17_80 y más;1
70;2;B18;NULL;12_55 a 59;1
62;1;R98;NULL;05_20 a 24;1
06;2;K31;NULL;10_45 a 49;1
94;1;P83;NULL;01_Menor de 1 año;1
06;1;R09;NULL;09_40 a 44;2
54;1;C15;NULL;15_70 a 74;5
66;2;C24;NULL;11_50 a 54;2
02;1;A52;NULL;06_25 a 29;1
06;1;N49;NULL;11_50 a 54;1
14;1;B16;NULL;14_65 a 69;1
18;1;J18;NULL;15_70 a 74;44
02;2;D32;NULL;16_75 a 79;1
58;1;C15;NULL;11_50 a 54;3
02;2;U07;NULL;01_Menor de 1 año;1
06;2;I35;NULL;16_75 a 79;15
18;2;Q91;NULL;01_Menor de 1 año;1
78;1;D43;NULL;15_70 a 74;2
82;1;K76;NULL;17_80 y más;4
22;2;I26;NULL;10_45 a 49;2
46;1;I67;NULL;10_45 a 49;2
14;1;I67;NULL;06_25 a 29;1
62;1;C16;NULL;07_30 a 34;1
74;1;G20;NULL;17_80 y más;3
70;2;D75;NULL;09_40 a 44;1
70;1;I24;NULL;13_60 a 64;1
02;2;Y83;NULL;02_1 a 9;1
06;2;I31;NULL;17_80 y más;11
06;1;I67;NULL;11_50 a 54;18
30;1;C62;NULL;15_70 a 74;1
10;2;V23;NULL;13_60 a 64;1
50;2;V29;NULL;10_45 a 49;1
50;1;J44;NULL;12_55 a 59;6
94;2;C16;NULL;12_55 a 59;2
90;2;J69;NULL;02_1 a 9;1
54;2;X70;NULL;06_25 a 29;4
58;2;C25;NULL;11_50 a 54;1
34;2;J18;NULL;04_15 a 19;3
14;1;J18;NULL;11_50 a 54;21
46;2;U07;NULL;17_80 y más;50
66;2;N18;NULL;10_45 a 49;1
